lat,lng,elevation,count
38.89815596844771,-77.02291199017505,11.321428571428571,28
38.96647663763387,-77.02589818556565,79.5,6
38.86995578311287,-76.98030070351479,11.727272727272727,11
38.928786581241845,-77.03284947736205,56.30434782608695,23
38.90962961154064,-77.0344579920374,25.5,26
38.83269216956186,-76.99765281366808,22.333333333333332,6
38.92205045785332,-76.97851889769015,30.25,4
38.89061535464268,-76.9913527022706,24.59090909090909,22
38.894176969284544,-77.04953125591209,6.133333333333334,15
38.94248201348244,-77.08061879711825,117.57142857142857,7
38.89766731809263,-76.93625310820761,15.222222222222221,9
38.95034539708997,-77.02025195345352,62.166666666666664,12
38.91271714411454,-77.07911673918888,46.6,5
38.85644131230242,-76.97049083168666,50.375,8
38.92833945150474,-76.99690107503388,49.36363636363637,11
38.90203260796798,-76.99735322472566,15.666666666666666,18
38.89499607184974,-76.97471979911214,10.444444444444445,9
38.884924040272274,-77.02345554268649,5.9411764705882355,17
38.90239873479049,-77.04805022630116,17.862068965517242,29
38.912710796532934,-77.01402982093028,27.0,16
38.934664516385055,-77.06459113899699,76.28571428571429,7
38.87537773123223,-77.00560946177475,7.176470588235294,17
38.8628250880303,-76.95997578240025,83.5,2
38.95969226598952,-77.07616112647952,100.0,5
38.92075115133613,-77.04033984407086,37.27272727272727,11
